text,labels
இந்த ட்ரெய்லர் கூட பார்க்கிற மாதிரி இல்லை.. இதை தியேட்டர் ல போய் பார்க்கனுமா.. .,1
மொத்த சாதியும் ஒரு சாதிக்கு எதிரா நிக்குது......  என்னா சமூகம் டா இது  தூ...........,1
உணமையாவே இது சைக்கோ படம் தான் ஒன்னுமே புரில,1
முத்தையா அண்ணனுக்கும் சாதி சாயம் பூசினார்கள் இப்பொழுது மோகன் அண்ணனுக்கும் சாதி சாயம் பூசி விடுவார்கள்,1
எங்களுக்கு மண்ணு பொண்ணு இரண்டுமே முக்கியம் அதில் யாரு கையை வச்சாலும் கையை வெட்டுவோம்,1
தம்பி... நீங்க எல்லாம் YouTube-கு புதுசா?? எந்த video வ இருந்தாலும் மொதல்ல likes தான் update ஆகும் அதுக்கப்பறம் தான் views update ஆகும்...   puthusa jio sim vangi puthusa YouTube la pakravanga ellam konjam silent ah iruntha nalla irukum...,1
அண்ணா மீதி காஸ் குடுங்க நான் கிளம்பனும் டேய் இதுவே மீதி காஸ் தாண்டா,1
"எந்த சாதியிலையும் செட்டியார் பெண்ணை காதலிப்போம் கவுண்டர் பெண்ணெ கட்டியணைப்போம்னு கோஷம் போடல, எந்த தலைவனும் சரக்கு மிடுக்கு, வயித்துல நம்ம சிசுனு உசுப்பேத்தல....  இப்போ இது பெரிய மேட்டர்ஆ ஆக காரணமே ரஞ்சித் இயக்கிய தயாரித்த படங்கள் தான்.",1
கதை இசை ஒளிப்பதிவு நல்லா இருக்கு. ஆனா எதோ ஒன்னு மிஸ்ஸிங்,1
தொண்டைமண்டல அகமுடையார்கள் சார்பாக இந்தப்படத்திற்கு 100 டிக்கட்டுகள் இலவசமாக வழங்கப்படும்....,1
குரூமா குருப்பு குண்டி வெந்தே சாகபோரானுக வாழ்த்துக்கள் மோகன் சார்....,1
நாடக காதல படம் எடுக்குறேனு நாடகம் மாதிரி எடுத்துருக்கான்..இதுல காவியப்புண்ட எடுத்தது மாதிரி  டெய்லி  வசனம் வேற...,1
பொள்ளாட்ச்சி பசங்க  பொன்னுங்கள தொட்ட சூத்த மூடிக்கிட்டு இருப்போம் யாரவது ஏமாந்தவன் கெடச்ச வீரத்த காமிப்போம்.....,1
ரஜினியை ஏமாற்றிய முருகதாஸ்  உண்மை பின்னணி :,1
எனக்கு மட்டும் தான் பாக்க SAW படத்தோட தழுவல் மாதிரி தோணுதா ...,1
வடக்கே வன்னியனும் தெற்கே தேவனும் ஒன்று சேர்ந்தாச்சு...இனி ஓலமிட்ற நரிகளுக்கும் கருப்பு சட்டைக்காரனுக்கும் கஞ்சிக்கே வழியில்லை....,1
அடேய்...படிச்சு முன்னேறு னு அம்பேத்கர் சொன்னாரு டா...  மேல்.சாதி பொண்ணு கூட படு***ட்டு முன்னேறு னு உங்க காதுல விழுந்திருச்சு போல...  அதான் புத்தகத்தை தூக்கி எறிந்து.. பொம்பளப்புள்ள பின்னாடி சுற்றும் கூட்டம்.  சும்மாவா சொன்னான்..  கீழ்மக்கள் கீழ்மக்களே...  த்தூ  #திரௌபதி,1
நீங்க சொன்ன ஒவ்வொரு  வார்த்தையும் இந்த சலுகையில வாழுர  Bc -30% MBC -20% Oc -10%  Sc-15% ScA--3% St-1%    நாயகள செருப்பால அடிச்சா மாதிரி இருந்துச்சு நண்பா   ( உங்களுக்கு எப்போ தான் டா அறிவு இங்கிறது ஊருகா அளவுக்காச்சும் வளர போகுது 🤦),1
போராடுவது தப்பு என்றால் போராட தூண்டுவதும் தப்பு தானே.... நாம் தமிழர்......,1
